Model year;Make;Model;Vehicle class;Transmission;Fuel type;CO2 emissions (g/km);CO2 rating;Smog rating
2022;Acura;ILX;Compact;AM8;Z;200;6;3
2022;Acura;MDX SH-AWD;Sport utility vehicle: Small;AS10;Z;263;4;5
2022;Acura;MDX Type S;Sport utility vehicle: Standard;AS10;Z;291;4;5
2022;Acura;NSX;Two-seater;AM9;Z;256;5;3
2022;Acura;RDX SH-AWD;Sport utility vehicle: Small;AS10;Z;232;5;6
2022;Acura;RDX SH-AWD A-SPEC;Sport utility vehicle: Small;AS10;Z;242;5;6
2022;Acura;TLX SH-AWD;Compact;AS10;Z;230;5;7
2022;Acura;TLX SH-AWD A-SPEC;Compact;AS10;Z;231;5;7
2022;Acura;TLX Type S;Compact;AS10;Z;256;5;5
2022;Acura;TLX Type S (Performance Tire);Compact;AS10;Z;261;4;5
2022;Alfa Romeo;Giulia;Mid-size;A8;Z;205;6;3
2022;Alfa Romeo;Giulia AWD;Mid-size;A8;Z;217;5;3
2022;Alfa Romeo;Giulia Quadrifoglio;Mid-size;A8;Z;271;4;3
2022;Alfa Romeo;Stelvio;Sport utility vehicle: Small;A8;Z;218;5;3
2022;Alfa Romeo;Stelvio AWD;Sport utility vehicle: Small;A8;Z;226;5;3
2022;Alfa Romeo;Stelvio AWD Quadrifoglio;Sport utility vehicle: Small;A8;Z;288;4;3
2022;Aston Martin;DB11 V8;Minicompact;A8;Z;271;4;5
2022;Aston Martin;DB11 V12;Minicompact;A8;Z;324;3;3
2022;Aston Martin;DBS V12;Minicompact;A8;Z;324;3;3
2022;Aston Martin;DBX V8;Sport utility vehicle: Standard;A9;Z;343;3;5
2022;Aston Martin;Vantage V8;Two-seater;A8;Z;270;4;5
2022;Audi;A3 Sedan 40 TFSI quattro;Subcompact;AM7;X;178;7;7
2022;Audi;A4 Sedan 40 TFSI quattro;Compact;AM7;Z;190;6;5
2022;Audi;A4 Sedan 45 TFSI quattro;Compact;AM7;Z;205;6;5
